MODELYEAR,MAKE,MODEL,VEHICLECLASS,FUELTYPE,CYLINDERS,ENGINESIZE,FUELCONSUMPTION_HWY,FUELCONSUMPTION_CITY,FUELCONSUMPTION_COMB,CO2EMISSIONS
2014,ACURA,ILX,COMPACT,Z,4,2,6.7,9.9,8.5,196
2014,ACURA,ILX,COMPACT,Z,4,2.4,7.7,11.2,9.6,221
2014,ACURA,ILX HYBRID,COMPACT,Z,4,1.5,5.8,6,5.9,136
2014,ACURA,MDX 4WD,SUV - SMALL,Z,6,3.5,9.1,12.7,11.1,255
2014,ACURA,RDX AWD,SUV - SMALL,Z,6,3.5,8.7,12.1,10.6,244
2014,ACURA,RLX,MID-SIZE,Z,6,3.5,7.7,11.9,10,230
2014,ACURA,TL,MID-SIZE,Z,6,3.5,8.1,11.8,10.1,232
2014,ACURA,TL AWD,MID-SIZE,Z,6,3.7,9,12.8,11.1,255
2014,ACURA,TL AWD,MID-SIZE,Z,6,3.7,9.5,13.4,11.6,267
2014,ACURA,TSX,COMPACT,Z,4,2.4,7.5,10.6,9.2,212
2014,ACURA,TSX,COMPACT,Z,4,2.4,8.1,11.2,9.8,225
2014,ACURA,TSX,COMPACT,Z,6,3.5,8.3,12.1,10.4,239
2014,ASTON MARTIN,DB9,MINICOMPACT,Z,12,5.9,12.6,18,15.6,359
2014,ASTON MARTIN,RAPIDE,SUBCOMPACT,Z,12,5.9,12.6,18,15.6,359
2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,Z,8,4.7,11.3,17.4,14.7,338
2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,Z,8,4.7,12.2,18.1,15.4,354
2014,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,Z,8,4.7,11.3,17.4,14.7,338
2014,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,Z,8,4.7,12.2,18.1,15.4,354
2014,ASTON MARTIN,VANQUISH,MINICOMPACT,Z,12,5.9,12.6,18,15.6,359
2014,AUDI,A4,COMPACT,Z,4,2,7.4,9.9,8.8,202
2014,AUDI,A4 QUATTRO,COMPACT,Z,4,2,8.1,11.5,10,230
2014,AUDI,A4 QUATTRO,COMPACT,Z,4,2,7.5,10.8,9.3,214
2014,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,Z,4,2,8.1,11.5,10,230
2014,AUDI,A5 QUATTRO,SUBCOMPACT,Z,4,2,8.1,11.5,10,230
2014,AUDI,A5 QUATTRO,SUBCOMPACT,Z,4,2,7.5,10.8,9.3,214
2014,AUDI,A6 QUATTRO,MID-SIZE,Z,4,2,8.1,12,10.2,235
2014,AUDI,A6 QUATTRO,MID-SIZE,Z,6,3,8.6,12.8,10.9,251
2014,AUDI,A6 QUATTRO TDI CLEAN DIESEL,MID-SIZE,Z,6,3,6.4,9.8,8.3,224
2014,AUDI,A7 QUATTRO,MID-SIZE,Z,6,3,8.8,13.1,11.2,258
2014,AUDI,A7 QUATTRO TDI CLEAN DIESEL,MID-SIZE,Z,6,3,6.4,9.8,8.3,224
2014,AUDI,A8,MID-SIZE,Z,6,3,8.8,13.1,11.2,258
2014,AUDI,A8,MID-SIZE,Z,8,4,8.6,13.5,11.3,260
2014,AUDI,A8 TDI CLEAN DIESEL,MID-SIZE,X,6,3,6.4,10,8.4,227
2014,AUDI,A8L,FULL-SIZE,Z,6,3,8.8,13.1,11.2,258
2014,AUDI,A8L,FULL-SIZE,Z,8,4,9.7,14.7,12.5,288
2014,AUDI,A8L,FULL-SIZE,Z,12,6.3,12.6,18.2,15.7,361
2014,AUDI,A8L TDI CLEAN DIESEL,FULL-SIZE,X,6,3,6.5,10.1,8.5,230
2014,AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,Z,4,2,8.8,11.8,10.5,242
2014,AUDI,Q5,SUV - SMALL,Z,4,2,8.5,12,10.4,239
2014,AUDI,Q5,SUV - SMALL,Z,6,3,9.2,12.9,11.2,258
2014,AUDI,Q5 HYBRID,SUV - SMALL,Z,4,2,8.3,9.9,9.2,212
2014,AUDI,Q5 TDI CLEAN DIESEL,SUV - SMALL,X,6,3,7.6,10.3,9.1,246
2014,AUDI,Q7,SUV - STANDARD,Z,6,3,10.9,15.1,13.2,304
2014,AUDI,Q7 TDI CLEAN DIESEL,SUV - STANDARD,X,6,3,8.4,12.9,10.9,294
2014,AUDI,R8,TWO-SEATER,Z,8,4.2,11,17.6,14.6,336
2014,AUDI,R8,TWO-SEATER,Z,8,4.2,13.4,21.2,17.7,407
2014,AUDI,R8,TWO-SEATER,Z,10,5.2,11.3,18.8,15.4,354
2014,AUDI,R8,TWO-SEATER,Z,10,5.2,13.8,21.1,17.8,409
2014,AUDI,R8 SPYDER,TWO-SEATER,Z,8,4.2,11,17.6,14.6,336
2014,AUDI,R8 SPYDER,TWO-SEATER,Z,8,4.2,13.4,21.2,17.7,407
2014,AUDI,R8 SPYDER,TWO-SEATER,Z,10,5.2,11.3,18.8,15.4,354
2014,AUDI,R8 SPYDER,TWO-SEATER,Z,10,5.2,13.8,21.1,17.8,409
2014,AUDI,RS5,SUBCOMPACT,Z,8,4.2,10.9,15.3,13.3,306
2014,AUDI,RS5 CABRIOLET,SUBCOMPACT,Z,8,4.2,11.3,15.2,13.4,308
2014,AUDI,RS7,MID-SIZE,Z,8,4,9.3,15.3,12.6,290
2014,AUDI,S4,COMPACT,Z,6,3,9.2,13.2,11.4,262
2014,AUDI,S4,COMPACT,Z,6,3,9.8,14.6,12.4,285
2014,AUDI,S5,SUBCOMPACT,Z,6,3,9.2,13.2,11.4,262
2014,AUDI,S5,SUBCOMPACT,Z,6,3,9.8,14.6,12.4,285
2014,AUDI,S5 CABRIOLET,SUBCOMPACT,Z,6,3,9.5,13.3,11.6,267
2014,AUDI,S6,MID-SIZE,Z,8,4,9.7,14.2,12.2,281
2014,AUDI,S7,MID-SIZE,Z,8,4,9.7,14.2,12.2,281
2014,AUDI,S8,MID-SIZE,Z,8,4,9.8,15.4,12.9,297
2014,AUDI,SQ5,SUV - SMALL,Z,6,3,10.1,14.9,12.7,292
2014,AUDI,TT COUPE QUATTRO,SUBCOMPACT,Z,4,2,7.6,10.4,9.1,209
2014,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,Z,4,2,7.6,10.4,9.1,209
2014,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,Z,4,2,8.8,11.5,10.3,237
2014,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,Z,4,2,8.8,11.5,10.3,237
